case_number,decision_type,judge_names,verdict_derived
069-CR-0015,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0016,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0017,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0018,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0019,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0020,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
069-CR-0021,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
069-CR-0022,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0023,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0024,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0025,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी",False
069-CR-0026,आंशिक ठहर,अध्यक्ष माननीय न्यायाधीश श्री मोहन रमण भट्टराई सदस्य माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई सदस्य माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी,True
069-CR-0027,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
069-CR-0028,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी",False
069-CR-0029,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0030,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0031,ठहर,अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे सदस्य माननीय न्यायाधीश श्री मोहनरमण भट्टराई सदस्य माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई,True
069-CR-0032,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0033,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0035,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री गौरी वहादुर कार्की
अध्यक्ष माननीय न्यायाधीश श्री ओम प्रकाश मिश्र
अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे",False
069-CR-0036,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी",False
069-CR-0037,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0038,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0039,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0040,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0041,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0042,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0043,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0044,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0045,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0046,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री गौरी वहादुर कार्की
अध्यक्ष माननीय न्यायाधीश श्री ओम प्रकाश मिश्र
अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे",False
069-CR-0047,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री गौरी वहादुर कार्की
अध्यक्ष माननीय न्यायाधीश श्री ओम प्रकाश मिश्र
अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे",False
069-CR-0048,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0049,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0050,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री ओम प्रकाश मिश्र
अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे",False
069-CR-0051,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0052,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0053,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री बाबुराम रेग्मी
अध्यक्ष माननीय न्यायाधीश श्री चण्डीराज ढकाल",False
069-CR-0054,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0055,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0057,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी",False
069-CR-0059,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
069-CR-0060,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0061,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0062,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0063,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0064,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
069-CR-0065,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
069-CR-0066,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0067,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0068,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0069,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
069-CR-0070,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0071,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी",False
069-CR-0072,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0073,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0074,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0075,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0076,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0077,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
069-CR-0078,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0079,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0080,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0081,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0082,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0084,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0085,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0086,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0087,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0089,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
069-CR-0090,सफाई,पवनकुमार शर्मा प्रभा बस्नेत महेश प्रसाद पुडासैनी,True
069-CR-0091,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
069-CR-0092,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0093,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0094,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी",False
069-CR-0095,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0096,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0097,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
069-CR-0098,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0099,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0100,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री बाबुराम रेग्मी
अध्यक्ष माननीय न्यायाधीश श्री चण्डीराज ढकाल
अध्यक्ष माननीय न्यायाधीश श्री नारायणप्रसाद पोखरेल",False
069-CR-0101,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री बाबुराम रेग्मी
अध्यक्ष माननीय न्यायाधीश श्री नारायणप्रसाद पोखरेल
अध्यक्ष माननीय न्यायाधीश श्री रत्नबहादुर बागचन्द",False
069-CR-0102,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री बाबुराम रेग्मी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
069-CR-0103,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री चण्डीराज ढकाल
अध्यक्ष माननीय न्यायाधीश श्री प्रमोदकुमार श्रेष्ठ वैद्य
अध्यक्ष माननीय न्यायाधीश श्री रत्नबहादुर बागचन्द",False
069-CR-0104,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री बाबुराम रेग्मी
अध्यक्ष माननीय न्यायाधीश श्री द्वारिकामान जोशी
अध्यक्ष माननीय न्यायाधीश श्री रत्नबहादुर बागचन्द",False
069-CR-0105,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0106,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0107,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी",False
069-CR-0108,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0109,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0110,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0111,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0112,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री बाबुराम रेग्मी
अध्यक्ष माननीय न्यायाधीश श्री प्रमोदकुमार श्रेष्ठ वैद्य",False
069-CR-0113,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0114,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0115,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0117,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
